"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"24","07","IC","1153445","","","","","24","07","IC","1153445","","","24","07","20","3","32","AM","01","29","7","0","0","","VENICE","1.14","17","70","4","1","004","E","L548","1","7808","1","Y","TRACK 8","1","","2","PROX","099809","021","Y","","","000","","2","0","0","0","0","0","0","0","0","0","56","0","7","0","0","7","0","0","0","0","0","0","H703","","0","0","0","0","H703","2","1","004","0","","17C119","0","000000","0","1","0","1","0","09","50","09","50","1","6","","Cl","","","","177","","2024","0","0","0","0","0","0","MADISON","119","00","00","","N","3820","2","THE CREW LINED THE SWITCH BUT FAILED TO REPLACE THE HOOK IN THE HASP. AS THE TRAIN TRAVELED OVER THE","SWITCH, THE HANDLE WAS THROWN UNDERNEATH THE TRAIN, LEADING TO A DERAILMENT.","","","","","","","","","","","","","","0","38.662847","-90.160665","2","5","","","","ST LOUIS",
"24","07","UP","0724MA034","","","","","24","07","ALS","0724AS010","","","24","07","20","5","53","AM","01","0","0","0","0","","EAST ST LOUIS","0.06","17","73","1","1","006","E","MNLA","1","16155","1","Y","MAIN LINE 2","1","136.0","1","DTTX","795491","187","N","","","000","","3","0","0","0","0","0","0","0","0","0","112","0","75","0","0","0","0","1","0","0","10553","0","H518","","0","0","0","0","H518","1","1","006","16010","","17C163","0","000000","0","1","0","1","0","09","23","09","23","1","6","","CL","","","","275","","2024","0","0","0","0","0","0","ST CLAIR","163","","","","N","11944","2","THE MNLASB-18 WHILE IN PROCESS OF PULLING INTO THE COTTON BELT TO YARD HIS TRAIN WHEN AN EMPTY 5 PAC","K INTERMODAL CAR DTTX795491 DERAILED AND RERAILED ITSELF. THIS WAS VERIFIED VIA CAMERA FOOTAGE WHILE","INVESTING THE INCIDENT. **ALS MAINTAINS TRACK. ALS TRACK DAMAGE = $5,657**","","","","","","","","","","","","","0","38.594655","-90.156754","1","1","Q","","","CHESTER SUB",
"24","03","BNSF","KS0324110","","","","","24","03","BNSF","KS0324110","","","24","03","23","10","0","AM","01","50","1","0","0","","WELLINGTON","238.5","20","37","2","2","010","R","HBAR","3","8832","1","Y","0101","1","0","2","TBOX","675122","042","Y","","","000","","3","0","1","0","0","0","0","0","0","0","15","0","186","0","0","2","0","1","0","0","30079","36711","T207","","0","0","0","0","T207","2","1","010","66790","","20C191","0","000000","0","1","0","1","0","02","","02","","1","6","","1","","","","214","","2024","0","0","0","0","0","0","SUMNER","191","","","","N","12127","2","H-BARKCK9-20A WAS PULLING EAST THRU YARD TRACK 101 TRACK OUT SK JUNCTION  WHEN 3 RAILCARS DERAILED A","T THE 101 LEAD SWITCH DUE TO T207 - BROKEN RAIL - DETAIL FRACTURE FROM SHELLING OR HEAD CHECK. NO HA","ZMAT RELEASED.","","","","","","","","","","","","","0","37.260921","-97.391692","2","5","K","","","PANHANDLE",
"24","02","PAL","2024FEB1D","","","","","24","02","PAL","2024FEB1D","","","24","02","08","2","51","PM","01","0","0","0","0","","PADUCAH","225.5","21","64","2","1","009","R","RS2P","2","4040","1","Y","NORTH PADUCAH YARD","1","","2","MULX","091438","022","N","","","000","","2","0","0","0","0","0","0","0","0","0","21","0","40","0","0","0","0","14","0","0","31262","1500","H702","H306","0","0","0","0","H702","2","1","009","32762","","21C145","0","000000","0","2","0","1","0","05","15","05","15","1","3","","Cl","","","","534","","2024","0","0","0","0","0","0","MCCRACKEN","145","00","00","","N","4008","2","CREW WAS TO BE SHOVING INTO TRACK N04 AND CONDUCTOR FAILED TO CHECK THE N1A SWITCH AND IT WASN'T LIN","E FOR MOVEMENT.  TRAIN WAS SHOVED INTO THE WRONG TRACK CAUSING IT STRIKE THE FRONT OF A STANDING UNO","CCUPIED CONSIST. CONDUCTOR INSTRUCTED ENGINEER TO PULL AHEAD 10 CARS LENGTHS BUT CONDUCTOR NOTICED C","ARS WERE NOT MOVING THAT WAS WHEN IT WAS FOUND THAT CARS HAD DERAILED. IT WAS FOUND 14 CARS DERAILED","AND 1 DAMAGED. NO INJURIES REPORTED. POST ACCIDENT TESTING WAS CONDUCTED BECAUSE AT THE TIME THOUGH","T TO HAVE BEEN OVER THE THRESHOLD.","","","","","","","","","","0","37.065334","-88.608928","2","5","","","","SYSTEM",
"24","01","CSX","000215646","","","","","24","01","CSX","000215646","","","24","01","13","6","40","AM","09","5","0","0","0","","SHEPHERDSVILLE","0020.8","21","23","4","2","053","R","I141","2","5273","1","Y","SINGLE MAIN TRACK","4","0029.7","1","CSXT","005207","001","Y","","","000","","2","0","0","0","0","0","0","0","0","0","35","0","9","0","0","0","0","0","0","0","12304","0","M404","","0","0","0","0","M404","1","4","053","12304","","21C029","0","000000","0","1","0","1","0","03","20","03","20","1","3","","1","","","","69","","2024","0","0","0","0","0","0","BULLITT","029","","","","N","7067","2","I14112 STRUCK TREE AT MILEPOST 20.75 CAUSING DAMAGE TO THE SNOW PLOW.","","","","","","","","","","","","","","","0","37.956749","-85.705256","1","1","Q","","","MAIN LINE",
"24","02","CSX","000216357","","","","","24","02","CSX","000216357","","","24","02","24","6","25","PM","09","0","0","0","0","","PRESTONSBURG","0076.5","21","35","3","2","033","E","M692","4","3563","1","Y","SINGLE MAIN TRACK","3","0023.8","1","CSXT","005282","001","N","","","000","","2","0","0","0","0","0","0","0","0","0","14","0","50","0","0","0","0","0","0","0","42506","0","M404","","0","0","0","0","M404","1","3","033","42506","","21C071","0","000000","0","1","0","1","0","03","10","03","10","1","3","","1","","","","78","","2024","0","0","0","0","0","0","FLOYD","071","","","","N","4035","2","M69221  STRUCK A TREE ACROSS  THE TRACKS. THE CREW RECEIVED MEDICAL ATTENTION.","","","","","","","","","","","","","","","0","37.665725","-82.742312","1","1","","","","BIG SANDY",
"24","09","WIRS","240912002","","","","","24","09","WIRS","240912002","","","24","09","12","10","10","PM","12","14","1","0","0","","HAHNVILLE","1","22","80","4","1","000","R","STCN","4","2392","7","Y","TAFT CURVE","X","","2","GATX","000174","001","N","","","000","","1","0","0","0","0","1","0","0","0","0","14","0","9","0","0","1","0","0","0","0","55000","4910","H306","H302","0","0","0","0","H306","2","X","004","87536","","22C089","0","000000","0","1","0","1","1","05","40","05","40","1","5","","0","","","","1348","","2024","0","0","0","0","0","0","ST CHARLES","089","","","","N","1200","0","UTILITY CREW PULLING EAST TOWARDS THE 900 YARD. WHEN THE UTILITY CREWS ENGINEER WAS PULLING EAST TOW","ARDS THE 900 YARD, THE CONDUCTOR AND BRAKEMAN ON THAT JOB STAYED IN THE STAR YARD APPROXIMATELY 30 C","ARS AWAY FROM WHERE THE BOTTOM HOPPER ON THEIR TRAIN WAS POSITIONED AT THE TIME OF STOPPING THE MOVE",". THEY STAYED IN THE SOUTH POLY YARD. PORT CREW WAS IN THE CLEAR IN THE TAFT CURVE AT THE TIME OF TH","E UTILITY CREW PULLING EAST. WHEN THE PORT CREW WAS IN THE CLEAR IN THE TAFT CURVE, THE CONDUCTOR AN","D BRAKEMAN ON THAT JOB STAYED ON THE BOTTOM RAILCAR ON THEIR TRAIN APPROXIMATELY 20 CARS BACK NOWHER","E NEAR THEIR ENGINEER. THE PORT CREW CONDUCTOR AND BRAKEMAN WERE NORTH OF THEIR ENGINEER APPROXIMATE","20 CARS AWAY FROM THEIR LOCOMOTIVE. UTILITY CREW RECEIVED COMMUNICATION TO STOP MOVEMENT AND SHOVE","BACK TO STAY IN THE CLEAR SO THAT THE PORT CREW CAN GO EAST FIRST. WHEN COMMUNICATION WAS GIVEN TO S","HOVE BACK, THE CONDUCTOR AND BRAKEMAN ON THE UTILITY JOB WERE POSITIONED APPROXIMATELY 30 CARS AWAY","STILL IN THE STAR YARD. PORT CREW ENGINEER PULLS LOCOMOTIVE UP CLEAR OF THE TAFT CURVE SWITCH ASSUMI","NG THE UTILITY CREW IS CLEAR WHILE THE PORT CREW’S CONDUCTOR AND BRAKEMAN STAYED ON THE BOTTOM OF TH","EIR TRAIN STILL.  AT THE TIME OF THE ENGINEER STEPPING DOWN TO THROW THE TAFT CURVE SWITCH, THE PORT","CREW SHOVES BACK INTO THE UTILITY CREW'S TRAIN.","","0","29.974073","-90.446966","2","5","K","","","SYSTEM",
"24","09","NS","158071","","","","","24","09","NS","158071","","","24","09","22","2","50","AM","04","0","0","0","0","","JENNINGS","S007.5","29","76","4","2","000","E","33KD","1","5649","1","Y","LU37","1","","2","SP","516710","087","Y","","","000","","1","0","0","0","0","0","0","0","0","0","93","0","7","0","0","2","0","2","0","0","1940","0","H403","H306","0","0","0","0","H403","2","1","004","35627","","29C189","0","000000","0","1","0","1","0","04","05","04","05","1","6","","1","","","","237","","2024","0","0","0","0","0","0","ST LOUIS","189","00","00","","N","8115","1","168D820 WAS INSTRUCTED TO TIE ONTO THE REAR OF 33KD720 (IN LU38 TRACK) AND PUSH THEM UP THE HILL, 16","8D820 TIED ONTO LU37 AND SHOVED LU37 OUT THE NORTH END OF THE TRACK INTO THE SIDE OF 33KD720 TRAIN R","ESULTING IN THE DERAILMENT OF 4 CARS.","","","","","","","","","","","","","0","38.701955","-90.22688","2","5","K","","","ST LOUIS",
"24","06","BNSF","CH0624101","","","","","24","06","BNSF","CH0624101","","","24","06","03","11","0","PM","13","0","0","0","0","","HARDIN","410.4","29","68","4","3","003","R","HGAT","3","5585","1","Y","MAIN 2 TRACK","4","45.04","1","UTLX","604569","038","N","","","000","","2","0","0","0","0","0","0","0","0","0","19","0","78","0","0","0","0","0","0","0","63797","0","H302","","0","0","0","0","H302","1","4","003","63797","","29C177","0","000000","0","1","0","1","0","03","45","03","45","1","6","","1","","","","158","","2024","0","0","0","0","0","0","RAY","177","","","","N","5778","2","H-GATGAL3-01A WAS IN THE PROCESS OF SHOVING INTO BACK TRACK 9891 AND STRUCK RAILCARS SITTING ON MAIN","2 TRACK DUE TO H302 - CARS LEFT FOUL. NO HAZMAT RELEASED.","","","","","","","","","","","","","","0","39.238365","-93.918023","1","1","Q","","","MARCELINE",
"24","06","BNSF","HL0624201","","","","","24","06","BNSF","HL0624201","","667835G","24","06","03","9","29","AM","07","0","0","0","0","","WEST PLAINS","314.1","29","82","2","2","041","E","SLBE","2","5254","1","Y","SINGLE MAIN TRACK","4","59.95","1","BNSF","005171","001","","","","000","","2","0","0","0","0","0","0","0","0","0","66","0","0","0","0","0","0","0","0","0","30000","13353","M302","","0","1","0","1","M302","1","4","041","43353","","29C091","1","000000","0","1","0","1","0","06","09","06","09","1","6","","1","","","","107","","2024","0","0","0","0","0","1","HOWELL","091","","","","N","5816","2","S-LBEMEM2-01W STRUCK A SEMI TRUCK THAT WAS HIGH CENTERED ON SINGLE MAIN TRACK CROSSING. NO HAZMAT RE","LEASED.","","","","","","","","","","","","","","0","36.732799","-91.854963","1","1","Q","","","THAYER NORTH",
"24","05","CPKC","1002093201","","","","","24","05","CPKC","1002093201","","","24","05","04","12","53","PM","01","0","0","0","0","","CHILLICOTHE","427.8","29","67","2","2","020","R","180-","2","3452","1","Y","SINGLE MAIN TRACK","3","15.35","1","DTTX","787770","024","Y","","","000","","2","0","0","0","0","0","0","0","0","0","24","0","0","0","0","1","0","0","0","0","6275","101220","T214","","0","0","0","0","T214","1","3","020","107495","","29C117","0","000000","0","1","0","2","0","07","52","07","52","1","6","","1","","","","233","","2024","0","0","0","0","0","0","LIVINGSTON","117","00","00","","N","2556","3","TRAIN 180-03 DERAILED 7 WHEELS OF ITS REAR CAR, DTTX 787770 AT MP 427.8 ON THE KANSAS CITY SUBDIVISI","ON DUE TO A BROKEN ANGLE BAR. 180-03 TRAVELLED AN ADDITIONAL 6.9 MILES UNTIL STOPPED BY THE `DRAGGIN","G EQUIPMENT DETECTOR` AT MP 434.3","","","","","","","","","","","","","0","39.728503","-93.584481","1","1","","","","KANSAS CITY",
